Player,Position,GP,GPG,APG,PPG,PlayerID
Jack Johnson,D,80,0.10,0.35,0.45,johnsja02
Jack Skille,RW,6,0.17,0.17,0.33,skillja01
Jaime Sifers,D,14,0.00,0.00,0.00,siferja01
Jake Dowell,C,3,0.33,0.33,0.67,dowelja01
Jakub Kindl,D,3,0.00,0.00,0.00,kindlja01
Jakub Voráček,RW,81,0.20,0.42,0.62,voracja01
Jamal Mayers,RW,71,0.04,0.15,0.20,mayerja01
James Neal,LW,78,0.35,0.36,0.71,nealja01
James Sheppard,C,64,0.03,0.06,0.09,sheppja01
James van Riemsdyk,LW,78,0.19,0.26,0.45,vanrija01
James Wisniewski,D,69,0.04,0.39,0.43,wisnija01
James Wright,C,48,0.04,0.06,0.10,wrighja02
Jamie Benn,LW,82,0.27,0.23,0.50,bennja01
Jamie Langenbrunner,RW,81,0.23,0.52,0.75,langeja01
Jamie Lundmark,C,36,0.14,0.19,0.33,lundmja01
Jamie McBain,D,14,0.21,0.50,0.71,mcbaija02
Jamie McGinn,LW,59,0.17,0.05,0.22,mcginja01
Jan Hejda,D,62,0.05,0.16,0.21,hejdaja01
Jannik Hansen,LW,47,0.19,0.13,0.32,hanseja01
Jared Boll,RW,68,0.06,0.04,0.10,bollja01
Jared Cowen,D,1,0.00,0.00,0.00,cowenja01
Jared Ross,C,3,0.00,0.00,0.00,rossja01
Jarkko Ruutu,LW,82,0.15,0.17,0.32,ruutuja01
Jarome Iginla,RW,82,0.39,0.45,0.84,iginlja01
Jaroslav Halák,G,45,0.00,0.00,0.00,halakja01
Jaroslav Špaček,D,74,0.04,0.24,0.28,spaceja01
Jarret Stoll,C,73,0.22,0.42,0.64,stollja01
Jason Arnott,C,63,0.30,0.43,0.73,arnotja01
Jason Blake,C,82,0.20,0.30,0.50,blakeja01
Jason Chimera,LW,78,0.19,0.24,0.44,chimeja01
Jason Demers,D,51,0.08,0.33,0.41,demerja01
Jason Garrison,D,39,0.05,0.15,0.21,garrija01
Jason Jaffray,RW,3,0.00,0.00,0.00,jaffrja01
Jason LaBarbera,G,17,0.00,0.00,0.00,labarja01
Jason Pominville,RW,82,0.29,0.46,0.76,pominja01
Jason Spezza,C,60,0.38,0.57,0.95,spezzja01
Jason Strudwick,D,72,0.00,0.08,0.08,strudja01
Jason Williams,C,44,0.14,0.20,0.34,willija01
Jay Beagle,C,7,0.14,0.14,0.29,beaglja01
Jay Bouwmeester,D,82,0.04,0.32,0.35,bouwmja01
Jay Harrison,D,38,0.03,0.13,0.16,harrija01
Jay Leach,D,35,0.03,0.03,0.06,leachja02
Jay McClement,C,82,0.13,0.22,0.35,mccleja01
Jay McKee,D,62,0.02,0.15,0.16,mckeeja01
Jay Pandolfo,LW,52,0.08,0.10,0.17,pandoja01
Jay Rosehill,D,15,0.07,0.07,0.13,rosehja01
Jean-François Jacques,LW,49,0.08,0.14,0.22,jacquje01
Jean-Sébastien Giguère,G,35,0.00,0.00,0.00,gigueje01
Jed Ortmeyer,RW,76,0.11,0.14,0.25,ortmeje01
Jeff Carter,C,74,0.45,0.38,0.82,carteje01
Jeff Deslauriers,G,48,0.00,0.06,0.06,drouije01
Jeff Finger,D,39,0.05,0.21,0.26,fingeje01
Jeff Halpern,C,71,0.13,0.14,0.27,halpeje01
Jeff Hoggan,RW,4,0.00,0.00,0.00,hoggaje01
Jeff Penner,D,2,0.00,0.00,0.00,penneje01
Jeff Schultz,D,73,0.04,0.27,0.32,schulje02
Jeff Taffe,C,21,0.05,0.05,0.10,taffeje01
Jeff Tambellini,LW,36,0.19,0.19,0.39,tambeje01
Jeff Woywitka,D,36,0.00,0.08,0.08,woywije01
Jere Lehtinen,RW,58,0.07,0.22,0.29,lehtije01
Jeremy Duchesne,G,1,0.00,0.00,0.00,ducheje01
Jérôme Samson,RW,7,0.00,0.29,0.29,samsoje01
Jerred Smithson,C,69,0.13,0.06,0.19,smithje01
Jesse Joensuu,RW,11,0.09,0.00,0.09,joensje01
Jesse Winchester,C,52,0.04,0.21,0.25,winchje01
Jhonas Enroth,G,1,0.00,0.00,0.00,enrotjh01
Jim Slater,C,61,0.18,0.11,0.30,slateji01
Jim Vandermeer,D,62,0.06,0.13,0.19,vandeji01
Jimmy Howard,G,63,0.00,0.03,0.03,howarja02
Jiří Tlustý,C,20,0.05,0.25,0.30,tlustji01
Jochen Hecht,C,79,0.27,0.27,0.53,hechtjo01
Jody Shelley,LW,57,0.04,0.12,0.16,shelljo01
Joe Callahan,D,1,0.00,1.00,1.00,callajo02
Joe Corvo,D,52,0.12,0.23,0.35,corvojo01
Joe Pavelski,C,67,0.37,0.39,0.76,paveljo01
Joe Thornton,C,79,0.25,0.87,1.13,thornjo01
Joel Perrault,C,2,0.50,0.00,0.50,perrajo01
Joel Rechlicz,RW,6,0.00,0.00,0.00,rechljo01
