,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
92,Ben Chiarot,27,WPG,D,78,7,0.06,0.19,0.26,0.09,0.79,1.42,5,15,20,7,50,0,59,16,6,43.5,49.5,-6.1,0.7,3.1,3.8,0,,,,chiarbe01
93,Ben Gleason,20,DAL,D,4,0,0.00,0.25,0.25,0.07,0.00,0.50,0,1,1,0,2,0,3,0,-1,2.0,2.5,-0.4,0.0,0.1,0.1,0,,,,gleasbe01
94,Ben Harpur,24,OTT,D,51,2,0.02,0.08,0.10,0.03,1.10,0.98,1,4,5,2,27,0,53,13,-13,25.5,38.1,-12.6,-0.5,0.9,0.4,0,,,,harpube01
95,Ben Hutton,25,VAN,D,69,7,0.07,0.22,0.29,0.10,0.62,1.65,5,15,20,7,54,11,83,17,-23,46.0,65.2,-19.2,0.7,2.0,2.7,0,,,,huttobe01
96,Ben Lovejoy,34,TOT,D,71,3,0.03,0.10,0.13,0.04,0.52,1.34,2,7,9,3,40,0,61,19,-1,40.2,39.7,0.5,-0.4,3.0,2.7,0,,,,lovejbe01
96,Ben Lovejoy,34,NJD,D,51,2,0.04,0.10,0.14,0.05,0.65,1.37,2,5,7,2,30,0,46,16,1,29.8,27.4,2.4,-0.2,2.3,2.1,0,,,,lovejbe01
96,Ben Lovejoy,34,DAL,D,20,1,0.00,0.10,0.10,0.03,0.20,1.25,0,2,2,1,10,0,15,3,-2,10.4,12.3,-1.9,-0.2,0.7,0.6,0,,,,lovejbe01
97,Ben Street,31,ANA,C,21,2,0.14,0.10,0.24,0.10,0.10,0.90,3,2,5,2,6,0,16,6,-4,4.5,11.9,-7.4,0.1,0.2,0.3,0,,,,streebe01
98,Blake Coleman,27,NJD,C,78,16,0.28,0.18,0.46,0.21,0.91,2.73,22,14,36,16,58,8,92,23,-19,44.6,44.3,0.4,2.2,1.1,3.3,3,1,2,33.3,colembl01
99,Blake Comeau,32,DAL,RW,77,7,0.09,0.14,0.23,0.09,0.55,1.32,7,11,18,7,31,0,57,19,-7,42.1,45.0,-2.9,-0.9,1.5,0.6,0,,,,comeabl01
100,Blake Lizotte,21,LAK,C,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,1,0,-1,0.7,0.7,0.0,0.0,0.0,-0.1,0,,,,lizotbl01
