,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
65,Anton Khudobin,26,BOS,G,14,0,0.00,0.00,0.00,0.00,0.29,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,2.8,0,,,,khudoan01
66,Anton Lander,21,EDM,C,11,0,0.00,0.09,0.09,0.02,0.18,1.00,0,2,2,1,1,0,7,2,-4,-0.2,0.0,-0.3,0,,,,landean01
67,Anton Strålman,26,NYR,D,48,3,0.08,0.06,0.15,0.06,0.33,1.38,8,6,14,6,43,1,29,1,14,0.2,3.0,3.2,0,,,,stralan01
68,Anton Volchenkov,30,NJD,D,37,2,0.03,0.11,0.14,0.05,1.00,1.03,2,7,9,3,18,0,35,16,-1,0.0,1.4,1.4,0,,,,volchan01
69,Antti Miettinen,32,WPG,RW,22,2,0.14,0.09,0.23,0.10,0.09,1.18,6,4,10,4,12,0,15,0,-3,0.1,0.1,0.3,1,0,1,0.0,miettan01
70,Antti Niemi,29,SJS,G,43,0,0.00,0.02,0.02,0.01,0.05,0.00,0,2,2,1,1,0,0,0,0,0.0,0.0,9.2,0,,,,niemian02
71,Anže Kopitar,25,LAK,C,47,14,0.21,0.68,0.89,0.30,0.34,2.09,19,60,79,27,62,23,33,8,14,3.1,1.7,4.8,4,2,2,50.0,kopitan01
72,Arron Asham,34,NYR,RW,27,1,0.07,0.00,0.07,0.04,1.85,0.52,4,0,4,2,4,0,2,0,2,0.0,0.3,0.2,0,,,,ashamar01
73,Artem Anisimov,24,CBJ,C,35,8,0.31,0.20,0.51,0.22,0.34,1.94,21,13,34,15,22,4,29,5,-6,1.6,0.4,2.1,6,4,2,66.7,anisiar01
74,Austin Watson,21,NSH,RW,6,1,0.17,0.00,0.17,0.09,0.00,0.67,2,0,2,1,2,0,4,0,-2,0.0,0.0,0.0,0,,,,watsoau01
75,B.J. Crombeen,27,TBL,RW,44,2,0.02,0.16,0.18,0.05,2.55,1.14,2,13,15,5,11,0,14,7,4,-0.4,0.6,0.2,0,,,,crombbj01
76,Barret Jackman,31,STL,D,46,4,0.07,0.20,0.26,0.09,0.85,0.85,6,17,23,8,36,1,37,8,6,0.6,2.9,3.5,0,,,,jackmba01
77,Beau Bennett,21,PIT,RW,26,5,0.12,0.42,0.54,0.17,0.23,1.15,6,21,27,9,24,10,7,0,7,1.0,0.6,1.5,0,,,,bennebe01
78,Ben Bishop,26,TOT,G,22,0,0.00,0.00,0.00,0.00,0.09,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,0,,,,bishobe01
78,Ben Bishop,26,OTT,G,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,0,,,,bishobe01
78,Ben Bishop,26,TBL,G,9,0,0.00,0.00,0.00,0.00,0.22,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0,,,,bishobe01
79,Ben Eager,29,EDM,LW,14,1,0.07,0.07,0.14,0.06,1.79,1.00,2,2,4,2,2,0,6,0,-4,-0.1,0.0,-0.1,0,,,,eagerbe01
80,Ben Hanowski,22,CGY,LW,5,1,0.20,0.00,0.20,0.11,0.00,0.80,2,0,2,1,2,0,2,0,0,0.0,0.1,0.1,0,,,,hanowbe01
81,Ben Lovejoy,28,TOT,D,35,3,0.00,0.29,0.29,0.08,0.83,1.66,0,19,19,5,28,3,25,4,4,0.4,1.5,1.9,0,,,,lovejbe01
81,Ben Lovejoy,28,ANA,D,32,3,0.00,0.31,0.31,0.08,0.91,1.59,0,19,19,5,27,3,22,4,6,0.4,1.6,2.0,0,,,,lovejbe01
81,Ben Lovejoy,28,PIT,D,3,0,0.00,0.00,0.00,0.00,0.00,2.33,0,0,0,0,1,0,3,0,-2,0.0,-0.1,-0.2,0,,,,lovejbe01
