,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
381,Jason Wiemer,29,TOT,LW,49,2,0.04,0.04,0.08,0.03,2.10,0.76,2,2,4,2,10,1,15,2,-4,-0.6,0.4,-0.1,0,,,,wiemeja01
381,Jason Wiemer,29,CGY,LW,33,1,0.03,0.06,0.09,0.03,1.97,0.73,1,2,3,1,9,1,13,2,-3,-0.5,0.3,-0.1,0,,,,wiemeja01
381,Jason Wiemer,29,NJD,LW,16,1,0.06,0.00,0.06,0.03,2.38,0.81,1,0,1,1,1,0,2,0,-1,-0.1,0.1,0.0,0,,,,wiemeja01
382,Jason Williams,25,DET,RW,80,21,0.26,0.46,0.73,0.27,0.33,2.21,21,35,56,21,93,44,45,0,4,4.3,1.4,5.7,0,,,,willija01
383,Jason Woolley,36,DET,D,53,5,0.02,0.34,0.36,0.10,0.53,0.81,1,17,18,5,38,12,23,0,3,1.2,1.5,2.7,0,,,,woollja01
384,Jassen Cullimore,33,CHI,D,54,2,0.02,0.11,0.13,0.04,0.98,0.43,1,6,7,2,17,2,63,24,-24,-0.3,0.2,-0.1,0,,,,cullija01
385,Jay Bouwmeester,22,FLA,D,82,14,0.06,0.50,0.56,0.17,0.96,2.30,5,39,44,13,102,26,135,60,1,2.6,3.8,6.4,0,,,,bouwmja01
386,Jay Harrison,23,TOR,D,8,0,0.00,0.13,0.13,0.03,0.25,0.88,0,1,1,0,7,0,5,3,5,-0.1,0.7,0.6,0,,,,harrija01
387,Jay Leach,26,BOS,D,2,0,0.00,0.00,0.00,0.00,3.50,0.00,0,0,0,0,1,0,0,0,1,0.0,0.1,0.1,0,,,,leachja02
388,Jay McClement,22,STL,C,67,9,0.09,0.31,0.40,0.13,0.45,1.13,6,20,26,9,35,11,54,7,-23,0.5,0.5,1.0,0,,,,mccleja01
389,Jay McKee,28,BUF,D,75,6,0.07,0.15,0.21,0.07,0.76,0.67,5,11,16,6,48,1,74,27,0,0.4,3.2,3.6,0,,,,mckeeja01
390,Jay Pandolfo,31,NJD,RW,82,8,0.12,0.12,0.24,0.10,0.20,1.41,10,10,20,8,45,2,73,32,2,-1.4,2.1,0.6,0,,,,pandoja01
391,Jean-François Jacques,20,EDM,LW,7,0,0.00,0.00,0.00,0.00,0.00,1.14,0,0,0,0,1,0,4,0,-3,-0.1,-0.1,-0.2,0,,,,jacquje01
392,Jean-Philippe Côté,23,MTL,D,8,0,0.00,0.00,0.00,0.00,0.50,0.25,0,0,0,0,3,0,1,0,2,-0.1,0.4,0.3,0,,,,coteje01
393,Jean-Sébastien Aubin,28,TOR,G,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,2.8,0,,,,aubinje01
394,Jean-Sébastien Giguère,28,MDA,G,60,0,0.00,0.00,0.00,0.00,0.33,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,12.0,0,,,,gigueje01
