,Team A,Asset Sent,Asset Received,Team B,Num Players Sent,Num Player Received,Year,Month,Day
11531,Jets, • 2016 first round pick (#18-Logan Stanley)• 2016 third round pick (#79-Luke Green), • 2016 first round pick (#22-German Rubtsov)• 2016 second round pick (#36-Pascal Laberge),Flyers,2,2,2016,6,24
11532,RedWings, • Joe Vitale• 2016 first round pick (#20-Dennis Cholowski)• 2016 second round pick (#53-Filip Hronek), • Pavel Datsyuk• 2016 first round pick (#16-Jakob Chychrun),Coyotes,2,3,2016,6,24
11533,Senators, • 2016 first round pick (#11-Logan Brown), • 2016 first round pick (#12-Michael McLeod)• 2016 third round pick (#80-Brandon Gignac),Devils,2,1,2016,6,24
11534,Avalanche, • 2017 fourth round pick (#114-Petr Kvaca), • Nick Holden,Rangers,1,1,2016,6,25
11535,Blackhawks, • 2017 fifth round pick (#144-Parker Foo), • 2016 fifth round pick (#144-Conner Bleackley),Blues,1,1,2016,6,25
11536,BlueJackets, • Scott Harrington• 2017 conditional fifth round pick (if Harrington is put on waivers and is claimed) (not exercised), • Kerby Rychel,MapleLeafs,1,2,2016,6,25
11537,Blues, • 2016 fifth round pick (#144-Conner Bleackley), • 2017 fifth round pick (#144-Parker Foo),Blackhawks,1,1,2016,6,25
11538,Bruins, • 2017 seventh round pick (#195-Victor Berglund), • 2016 seventh round pick (#195-Benjamin Finkelstein),Panthers,1,1,2016,6,25
11539,Devils, • Beau Bennett, • 2016 third round pick (#77-Connor Hall),Penguins,1,1,2016,6,25
11540,Kings, • Jack Campbell, • Nick Ebert,Stars,1,1,2016,6,25
11541,MapleLeafs, • Kerby Rychel, • Scott Harrington• 2017 conditional fifth round pick (if Harrington is put on waivers and is claimed) (not exercised),BlueJackets,2,1,2016,6,25
11542,Panthers, • 2016 seventh round pick (#195-Benjamin Finkelstein), • 2017 seventh round pick (#195-Victor Berglund),Bruins,1,1,2016,6,25
11543,Penguins, • 2016 third round pick (#77-Connor Hall), • Beau Bennett,Devils,1,1,2016,6,25
11544,Rangers, • Nick Holden, • 2017 fourth round pick (#114-Petr Kvaca),Avalanche,1,1,2016,6,25
11545,Stars, • Nick Ebert, • Jack Campbell,Kings,1,1,2016,6,25
11546,Blackhawks, • 2016 fourth round pick (#110-Lucas Carlsson)• 2017 sixth round pick (#170-Jonathan Davidsson), • 2016 fourth round pick (#95-Anatoli Golyshev / Anatoly Golyshev),Islanders,1,2,2016,6,25
11547,Canadiens, • 2016 seventh round pick (#187-Arvid Henrikson), • 2017 seventh round pick (#211-Croix Evingson),Jets,1,1,2016,6,25
11548,Coyotes, • Anthony DeAngelo / Tony DeAngelo, • 2016 second round pick (#37-Libor Hajek),Lightning,1,1,2016,6,25
11549,Flyers, • 2017 fourth round pick (#108-Noel Hoefenmayer), • 2016 fourth round pick (#120-Otto Koivula),Islanders,1,1,2016,6,25
11550,Islanders, • 2016 fourth round pick (#120-Otto Koivula), • 2017 fourth round pick (#108-Noel Hoefenmayer),Flyers,1,1,2016,6,25
11551,Islanders, • 2016 fourth round pick (#95-Anatoli Golyshev / Anatoly Golyshev), • 2016 fourth round pick (#110-Lucas Carlsson)• 2017 sixth round pick (#170-Jonathan Davidsson),Blackhawks,2,1,2016,6,25
11552,Jets, • 2017 seventh round pick (#211-Croix Evingson), • 2016 seventh round pick (#187-Arvid Henrikson),Canadiens,1,1,2016,6,25
11553,Lightning, • 2016 second round pick (#37-Libor Hajek), • Anthony DeAngelo / Tony DeAngelo,Coyotes,1,1,2016,6,25
11554,Flames, • Alex Chiasson, • Patrick Sieloff,Senators,1,1,2016,6,27
11555,Senators, • Patrick Sieloff, • Alex Chiasson,Flames,1,1,2016,6,27
11556,Canadiens, • Shea Weber, • P.K. Subban,Predators,1,1,2016,6,29
11557,Devils, • Taylor Hall (Strba), • Adam Larsson,Oilers,1,1,2016,6,29
11558,Oilers, • Adam Larsson, • Taylor Hall (Strba),Devils,1,1,2016,6,29
11559,Predators, • P.K. Subban, • Shea Weber,Canadiens,1,1,2016,6,29
11560,Blues, • 2017 fifth round pick (#130-David Noel), • rights to Anders Nilsson,Sabres,1,1,2016,7,2
11561,Sabres, • rights to Anders Nilsson, • 2017 fifth round pick (#130-David Noel),Blues,1,1,2016,7,2
11562,Ducks, • Jonathan Bernier," • 2017 conditional pick (second round if Bernier's team wins 2017 Stanley Cup and Bernier starts half of his team's playoff games, 2017 third round pick if Bernier's team loses in Stanley Cup Final and Bernier starts half of his team's playoff games) (not exercised)",MapleLeafs,1,1,2016,7,8
11563,MapleLeafs," • 2017 conditional pick (second round if Bernier's team wins 2017 Stanley Cup and Bernier starts half of his team's playoff games, 2017 third round pick if Bernier's team loses in Stanley Cup Final and Bernier starts half of his team's playoff games) (not exercised)", • Jonathan Bernier,Ducks,1,1,2016,7,8
11564,Rangers, • Mika Zibanejad• 2018 second round pick (#33-Jonatan Berggren), • Derick Brassard• 2018 seventh round pick (#194-Luke Loheit),Senators,2,2,2016,7,18
11565,Senators, • Derick Brassard• 2018 seventh round pick (#194-Luke Loheit), • Mika Zibanejad• 2018 second round pick (#33-Jonatan Berggren),Rangers,2,2,2016,7,18
11566,Coyotes, • Lawson Crouse• Dave Bolland," • 2017 third round pick (more favorable of Coyotes, Red Wings picks) (#66-Max Gildon)• 2018 conditional round pick (second round if Crouse plays 10 games for the Coyotes in 2016-17 and he is not traded before the end of the first round of the 2017 draft, else third round) (#34-Serron Noel)",Panthers,2,2,2016,8,25
